logged_at,commit,score,predicted_lane,lane_run,explored,outcome,total_files,total_churn
2026-08-21T20:19:04.730113,459540efb70c26e426667df6b69c7561010cfa02,0.85,HIGH,HIGH,0,failed,6,344
2026-08-21T20:38:25.077551,596ee89afd0a58262795ed1196f23cd47c9d7bf4,0.85,HIGH,HIGH,0,passed,4,271
2026-08-21T20:45:29.031776,9dda41acb68d287127ed572c10e23b00a398d71d,0.1355,MED,MED,0,passed,2,4
2026-08-21T20:55:07.375605,8ab6a089b0983ecfabb808e047924162ec224625,0.85,HIGH,HIGH,0,passed,1,18
2026-08-21T20:57:34.312857,628630efab4d84d9d18ba0c7b529838098ee4228,0.1355,MED,MED,0,passed,1,22
2026-08-21T21:10:36.816309,b50be91efe203c7bf721b6f43dc2017fc2272c02,0.1355,MED,MED,0,passed,1,21
2026-08-21T21:13:16.823601,67af5a08bcd0d0beb489716ab0f5a6841fdead59,0.1355,MED,MED,0,passed,1,18
2026-08-21T21:17:51.255173,8b9578f6216926460f479a98f7a9460662febb43,0.85,HIGH,HIGH,0,passed,1,18
2026-08-22T12:11:09.952403,268b61933011c00207e8d2ae850c7a6f57ad6e0d,0.1355,MED,MED,0,passed,2,15
2026-08-22T13:58:19.214462,44b7c8c7ae339c0fcbd43f158fae98ac9717068c,0.05,LOW,MED,1,passed,1,0
2026-09-02T15:08:37.194754,858b3b78b53c517b59238c47311aacd04dc84427,0.05,LOW,LOW,0,unobserved,1,0
2026-09-02T15:10:11.871813,2600d290b0830075d6d191ab212311131ccdc099,0.05,LOW,LOW,0,unobserved,1,0
2026-09-02T15:17:37.107915,333ae73c493b8577ce8a8765cd83d89d3fb26b98,0.1355,MED,MED,0,passed,1,8
2026-09-02T15:25:58.461462,daffb5b82d6db6d6fa75363547fbc9fa6b271b86,0.85,HIGH,HIGH,0,passed,1,18
2026-09-02T18:23:12.200674,9fe10a402c5492da6ef752e8652246b58be68372,0.05,LOW,LOW,0,unobserved,1,0
2026-09-02T18:42:45.237505,46d6021175499581933cbdae7422d2e49e463d2f,0.1355,MED,MED,0,passed,1,18
